Year,Month,Age of the Life Assured,Age of Policyholder,Fund Value at the beginning of the month,Installment Premium Received,Allocation Charge,Goods and Services Tax on allocation charge,Extra Allocation,Amount Available for Investment,Policy Administration Charge,Goods and Services Tax on Policy Administration Charge,Fund Value before Mortality Charge,Sum Assured,Minimum DB as per IRDA,Death Benefit,Sum At Risk, Mortality Charge , EMR , Standard Age Proof , Flat Extra (per Rs.1000 Sum At Risk) , Total Mortality Charge , PV of Future Premium , WoP Mortality Charge , WoP ATPD Charge , EMR , Standard Age Proof , Flat Extra (per Rs.1000 Sum At Risk) , Total WoP Charge ,Goods and Services Tax on Mortality Charge,Fund Value after Mortality Charge,Investment Income,Fund Value after Investment Income,FMC,Goods and Services Tax on FMC,Fund at the end of the month before additions,Loyalty Addition,Booster,Return of Charge,Fund at the end of the month,IRR to PH,Goods and Services Tax on All charges,Discontinuance Charge with Goods and Services Tax,Surrender Value,,,21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,37,37,0,24000,0,0,0,24000,100,0,23900,240000,25200,240000,216100, 29.35 , -   , -   , -   , 29.35 , -   , -   , -   , -   , -   , -   , -   ,0.0,23871,153.58,24024,26.86,0.0,23997,0,0,0,23997,"-24,000",0,"3,000",20997,,0,,
1,2,37,37,23997,0,0,0,0,0,100,0,23897,240000,25200,240000,216103, 29.35 , -   , -   , -   , 29.35 , -   , -   , -   , -   , -   , -   , -   ,0.0,23868,153.57,24022,26.86,0.0,23995,0,0,0,23995,0,0,"3,000",20995,,0,0,
1,3,37,37,23995,0,0,0,0,0,100,0,23895,240000,25200,240000,216105, 29.35 , -   , -   , -   , 29.35 , -   , -   , -   , -   , -   , -   , -   ,0.0,23865,153.55,24019,26.86,0.0,23992,0,0,0,23992,0,0,"3,000",20992,,0,0,
1,4,37,37,23992,0,0,0,0,0,100,0,23892,240000,25200,240000,216108, 29.35 , -   , -   , -   , 29.35 , -   , -   , -   , -   , -   , -   , -   ,0.0,23863,153.53,24016,26.85,0.0,23989,0,0,0,23989,0,0,"3,000",20989,,0,0,
1,5,38,38,23989,0,0,0,0,0,100,0,23889,240000,25200,240000,216111, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23858,153.50,24011,26.85,0.0,23985,0,0,0,23985,0,0,"3,000",20985,,0,0,
1,6,38,38,23985,0,0,0,0,0,100,0,23885,240000,25200,240000,216115, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23853,153.47,24007,26.84,0.0,23980,0,0,0,23980,0,0,"3,000",20980,,0,0,
1,7,38,38,23980,0,0,0,0,0,100,0,23880,240000,25200,240000,216120, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23848,153.44,24002,26.84,0.0,23975,0,0,0,23975,0,0,"3,000",20975,,0,0,
1,8,38,38,23975,0,0,0,0,0,100,0,23875,240000,25200,240000,216125, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23844,153.41,23997,26.83,0.0,23970,0,0,0,23970,0,0,"3,000",20970,,0,0,
1,9,38,38,23970,0,0,0,0,0,100,0,23870,240000,25200,240000,216130, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23839,153.38,23992,26.83,0.0,23965,0,0,0,23965,0,0,"3,000",20965,,0,0,
1,10,38,38,23965,0,0,0,0,0,100,0,23865,240000,25200,240000,216135, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23834,153.35,23987,26.82,0.0,23960,0,0,0,23960,0,0,"3,000",20960,,0,0,
1,11,38,38,23960,0,0,0,0,0,100,0,23860,240000,25200,240000,216140, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23829,153.32,23982,26.81,0.0,23956,0,0,0,23956,0,0,"3,000",20956,,0,0,
1,12,38,38,23956,0,0,0,0,0,100,0,23856,240000,25200,240000,216144, 31.41 , -   , -   , -   , 31.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,23824,153.29,23977,26.81,0.0,23951,0,0,0,23951,0,0,"3,000",20951,,0,0,
2,13,38,38,23951,24000,0,0,0,24000,100,0,47851,240000,50400,240000,192149, 27.93 , -   , -   , -   , 27.93 , -   , -   , -   , -   , -   , -   , -   ,0.0,47823,307.69,48130,53.81,0.0,48077,0,0,0,48077,"-24,000",0,"2,000",46077,,0,0,
2,14,38,38,48077,0,0,0,0,0,100,0,47977,240000,50400,240000,192023, 27.91 , -   , -   , -   , 27.91 , -   , -   , -   , -   , -   , -   , -   ,0.0,47949,308.50,48257,53.96,0.0,48203,0,0,0,48203,0,0,"2,000",46203,,0,0,
2,15,38,38,48203,0,0,0,0,0,100,0,48103,240000,50400,240000,191897, 27.89 , -   , -   , -   , 27.89 , -   , -   , -   , -   , -   , -   , -   ,0.0,48075,309.32,48385,54.10,0.0,48331,0,0,0,48331,0,0,"2,000",46331,,0,0,
2,16,38,38,48331,0,0,0,0,0,100,0,48231,240000,50400,240000,191769, 27.87 , -   , -   , -   , 27.87 , -   , -   , -   , -   , -   , -   , -   ,0.0,48203,310.14,48513,54.24,0.0,48459,0,0,0,48459,0,0,"2,000",46459,,0,0,
2,17,39,39,48459,0,0,0,0,0,100,0,48359,240000,50400,240000,191641, 29.90 , -   , -   , -   , 29.90 , -   , -   , -   , -   , -   , -   , -   ,0.0,48329,310.95,48640,54.38,0.0,48585,0,0,0,48585,0,0,"2,000",46585,,0,0,
2,18,39,39,48585,0,0,0,0,0,100,0,48485,240000,50400,240000,191515, 29.88 , -   , -   , -   , 29.88 , -   , -   , -   , -   , -   , -   , -   ,0.0,48455,311.76,48767,54.53,0.0,48713,0,0,0,48713,0,0,"2,000",46713,,0,0,
2,19,39,39,48713,0,0,0,0,0,100,0,48613,240000,50400,240000,191387, 29.86 , -   , -   , -   , 29.86 , -   , -   , -   , -   , -   , -   , -   ,0.0,48583,312.58,48895,54.67,0.0,48841,0,0,0,48841,0,0,"2,000",46841,,0,0,
2,20,39,39,48841,0,0,0,0,0,100,0,48741,240000,50400,240000,191259, 29.84 , -   , -   , -   , 29.84 , -   , -   , -   , -   , -   , -   , -   ,0.0,48711,313.41,49024,54.81,0.0,48969,0,0,0,48969,0,0,"2,000",46969,,0,0,
2,21,39,39,48969,0,0,0,0,0,100,0,48869,240000,50400,240000,191131, 29.82 , -   , -   , -   , 29.82 , -   , -   , -   , -   , -   , -   , -   ,0.0,48840,314.24,49154,54.96,0.0,49099,0,0,0,49099,0,0,"2,000",47099,,0,0,
2,22,39,39,49099,0,0,0,0,0,100,0,48999,240000,50400,240000,191001, 29.80 , -   , -   , -   , 29.80 , -   , -   , -   , -   , -   , -   , -   ,0.0,48969,315.07,49284,55.10,0.0,49229,0,0,0,49229,0,0,"2,000",47229,,0,0,
2,23,39,39,49229,0,0,0,0,0,100,0,49129,240000,50400,240000,190871, 29.78 , -   , -   , -   , 29.78 , -   , -   , -   , -   , -   , -   , -   ,0.0,49099,315.91,49415,55.25,0.0,49360,0,0,0,49360,0,0,"2,000",47360,,0,0,
2,24,39,39,49360,0,0,0,0,0,100,0,49260,240000,50400,240000,190740, 29.76 , -   , -   , -   , 29.76 , -   , -   , -   , -   , -   , -   , -   ,0.0,49230,316.75,49547,55.40,0.0,49492,0,0,0,49492,0,0,"2,000",47492,,0,0,
3,25,39,39,49492,24000,0,0,0,24000,100,0,73392,240000,75600,240000,166608, 25.99 , -   , -   , -   , 25.99 , -   , -   , -   , -   , -   , -   , -   ,0.0,73366,472.04,73838,82.56,0.0,73755,0,0,0,73755,"-24,000",0,"1,500",72255,,0,0,
3,26,39,39,73755,0,0,0,0,0,100,0,73655,240000,75600,240000,166345, 25.95 , -   , -   , -   , 25.95 , -   , -   , -   , -   , -   , -   , -   ,0.0,73629,473.73,74103,82.85,0.0,74020,0,0,0,74020,0,0,"1,500",72520,,0,0,
3,27,39,39,74020,0,0,0,0,0,100,0,73920,240000,75600,240000,166080, 25.91 , -   , -   , -   , 25.91 , -   , -   , -   , -   , -   , -   , -   ,0.0,73894,475.44,74369,83.15,0.0,74286,0,0,0,74286,0,0,"1,500",72786,,0,0,
3,28,39,39,74286,0,0,0,0,0,100,0,74186,240000,75600,240000,165814, 25.87 , -   , -   , -   , 25.87 , -   , -   , -   , -   , -   , -   , -   ,0.0,74160,477.15,74638,83.45,0.0,74554,0,0,0,74554,0,0,"1,500",73054,,0,0,
3,29,40,40,74554,0,0,0,0,0,100,0,74454,240000,75600,240000,165546, 27.81 , -   , -   , -   , 27.81 , -   , -   , -   , -   , -   , -   , -   ,0.0,74426,478.86,74905,83.75,0.0,74821,0,0,0,74821,0,0,"1,500",73321,,0,0,
3,30,40,40,74821,0,0,0,0,0,100,0,74721,240000,75600,240000,165279, 27.77 , -   , -   , -   , 27.77 , -   , -   , -   , -   , -   , -   , -   ,0.0,74694,480.58,75174,84.05,0.0,75090,0,0,0,75090,0,0,"1,500",73590,,0,0,
3,31,40,40,75090,0,0,0,0,0,100,0,74990,240000,75600,240000,165010, 27.72 , -   , -   , -   , 27.72 , -   , -   , -   , -   , -   , -   , -   ,0.0,74962,482.31,75445,84.35,0.0,75360,0,0,0,75360,0,0,"1,500",73860,,0,0,
3,32,40,40,75360,0,0,0,0,0,100,0,75260,240000,75600,240000,164740, 27.68 , -   , -   , -   , 27.68 , -   , -   , -   , -   , -   , -   , -   ,0.0,75233,484.05,75717,84.66,0.0,75632,0,0,0,75632,0,0,"1,500",74132,,0,0,
3,33,40,40,75632,0,0,0,0,0,100,0,75532,240000,75600,240000,164468, 27.63 , -   , -   , -   , 27.63 , -   , -   , -   , -   , -   , -   , -   ,0.0,75505,485.80,75990,84.96,0.0,75905,0,0,0,75905,0,0,"1,500",74405,,0,0,
3,34,40,40,75905,0,0,0,0,0,100,0,75805,240000,75600,240000,164195, 27.58 , -   , -   , -   , 27.58 , -   , -   , -   , -   , -   , -   , -   ,0.0,75778,487.56,76265,85.27,0.0,76180,0,0,0,76180,0,0,"1,500",74680,,0,0,
3,35,40,40,76180,0,0,0,0,0,100,0,76080,240000,75600,240000,163920, 27.54 , -   , -   , -   , 27.54 , -   , -   , -   , -   , -   , -   , -   ,0.0,76053,489.32,76542,85.58,0.0,76456,0,0,0,76456,0,0,"1,500",74956,,0,0,
3,36,40,40,76456,0,0,0,0,0,100,0,76356,240000,75600,240000,163644, 27.49 , -   , -   , -   , 27.49 , -   , -   , -   , -   , -   , -   , -   ,0.0,76329,491.10,76820,85.89,0.0,76734,0,0,0,76734,0,0,"1,500",75234,,0,0,
4,37,40,40,76734,24000,0,0,0,24000,100,0,100634,240000,100800,240000,139366, 23.41 , -   , -   , -   , 23.41 , -   , -   , -   , -   , -   , -   , -   ,0.0,100611,647.33,101258,113.22,0.0,101145,0,0,0,101145,"-24,000",0,"1,000",100145,,0,0,
4,38,40,40,101145,0,0,0,0,0,100,0,101045,240000,100800,240000,138955, 23.34 , -   , -   , -   , 23.34 , -   , -   , -   , -   , -   , -   , -   ,0.0,101021,649.97,101671,113.68,0.0,101558,0,0,0,101558,0,0,"1,000",100558,,0,0,
4,39,40,40,101558,0,0,0,0,0,100,0,101458,240000,100800,240000,138542, 23.28 , -   , -   , -   , 23.28 , -   , -   , -   , -   , -   , -   , -   ,0.0,101434,652.63,102087,114.14,0.0,101973,0,0,0,101973,0,0,"1,000",100973,,0,0,
4,40,40,40,101973,0,0,0,0,0,100,0,101873,240000,100800,240000,138127, 23.21 , -   , -   , -   , 23.21 , -   , -   , -   , -   , -   , -   , -   ,0.0,101850,655.30,102505,114.61,0.0,102390,0,0,0,102390,0,0,"1,000",101390,,0,0,
4,41,41,41,102390,0,0,0,0,0,100,0,102290,240000,100800,240000,137710, 24.99 , -   , -   , -   , 24.99 , -   , -   , -   , -   , -   , -   , -   ,0.0,102265,657.98,102923,115.08,0.0,102808,0,0,0,102808,0,0,"1,000",101808,,0,0,
4,42,41,41,102808,0,0,0,0,0,100,0,102708,240000,100800,240000,137292, 24.92 , -   , -   , -   , 24.92 , -   , -   , -   , -   , -   , -   , -   ,0.0,102683,660.67,103344,115.55,0.0,103228,0,0,0,103228,0,0,"1,000",102228,,0,0,
4,43,41,41,103228,0,0,0,0,0,100,0,103128,240000,100800,240000,136872, 24.84 , -   , -   , -   , 24.84 , -   , -   , -   , -   , -   , -   , -   ,0.0,103104,663.37,103767,116.02,0.0,103651,0,0,0,103651,0,0,"1,000",102651,,0,0,
4,44,41,41,103651,0,0,0,0,0,100,0,103551,240000,100800,240000,136449, 24.77 , -   , -   , -   , 24.77 , -   , -   , -   , -   , -   , -   , -   ,0.0,103526,666.09,104192,116.50,0.0,104076,0,0,0,104076,0,0,"1,000",103076,,0,0,
4,45,41,41,104076,0,0,0,0,0,100,0,103976,240000,100800,240000,136024, 24.69 , -   , -   , -   , 24.69 , -   , -   , -   , -   , -   , -   , -   ,0.0,103951,668.82,104620,116.98,0.0,104503,0,0,0,104503,0,0,"1,000",103503,,0,0,
4,46,41,41,104503,0,0,0,0,0,100,0,104403,240000,100800,240000,135597, 24.61 , -   , -   , -   , 24.61 , -   , -   , -   , -   , -   , -   , -   ,0.0,104378,671.57,105050,117.46,0.0,104932,0,0,0,104932,0,0,"1,000",103932,,0,0,
4,47,41,41,104932,0,0,0,0,0,100,0,104832,240000,100800,240000,135168, 24.53 , -   , -   , -   , 24.53 , -   , -   , -   , -   , -   , -   , -   ,0.0,104808,674.34,105482,117.94,0.0,105364,0,0,0,105364,0,0,"1,000",104364,,0,0,
4,48,41,41,105364,0,0,0,0,0,100,0,105264,240000,100800,240000,134736, 24.45 , -   , -   , -   , 24.45 , -   , -   , -   , -   , -   , -   , -   ,0.0,105240,677.12,105917,118.43,0.0,105799,0,0,0,105799,0,0,"1,000",104799,,0,0,
5,49,41,41,105799,24000,0,0,0,24000,100,0,129699,240000,126000,240000,110301, 20.02 , -   , -   , -   , 20.02 , -   , -   , -   , -   , -   , -   , -   ,0.0,129679,834.36,130513,145.93,0.0,130367,0,0,0,130367,"-24,000",0,0,130367,,0,0,
5,50,41,41,130367,0,0,0,0,0,100,0,130267,240000,126000,240000,109733, 19.92 , -   , -   , -   , 19.92 , -   , -   , -   , -   , -   , -   , -   ,0.0,130247,838.01,131085,146.57,0.0,130938,0,0,0,130938,0,0,0,130938,,0,0,
5,51,41,41,130938,0,0,0,0,0,100,0,130838,240000,126000,240000,109162, 19.81 , -   , -   , -   , 19.81 , -   , -   , -   , -   , -   , -   , -   ,0.0,130819,841.69,131660,147.21,0.0,131513,0,0,0,131513,0,0,0,131513,,0,0,
5,52,41,41,131513,0,0,0,0,0,100,0,131413,240000,126000,240000,108587, 19.71 , -   , -   , -   , 19.71 , -   , -   , -   , -   , -   , -   , -   ,0.0,131393,845.39,132239,147.86,0.0,132091,0,0,0,132091,0,0,0,132091,,0,0,
5,53,42,42,132091,0,0,0,0,0,100,0,131991,240000,126000,240000,108009, 21.27 , -   , -   , -   , 21.27 , -   , -   , -   , -   , -   , -   , -   ,0.0,131970,849.10,132819,148.50,0.0,132670,0,0,0,132670,0,0,0,132670,,0,0,
5,54,42,42,132670,0,0,0,0,0,100,0,132570,240000,126000,240000,107430, 21.15 , -   , -   , -   , 21.15 , -   , -   , -   , -   , -   , -   , -   ,0.0,132549,852.83,133402,149.16,0.0,133253,0,0,0,133253,0,0,0,133253,,0,0,
5,55,42,42,133253,0,0,0,0,0,100,0,133153,240000,126000,240000,106847, 21.04 , -   , -   , -   , 21.04 , -   , -   , -   , -   , -   , -   , -   ,0.0,133132,856.57,133988,149.81,0.0,133839,0,0,0,133839,0,0,0,133839,,0,0,
5,56,42,42,133839,0,0,0,0,0,100,0,133739,240000,126000,240000,106261, 20.92 , -   , -   , -   , 20.92 , -   , -   , -   , -   , -   , -   , -   ,0.0,133718,860.34,134578,150.47,0.0,134427,0,0,0,134427,0,0,0,134427,,0,0,
5,57,42,42,134427,0,0,0,0,0,100,0,134327,240000,126000,240000,105673, 20.81 , -   , -   , -   , 20.81 , -   , -   , -   , -   , -   , -   , -   ,0.0,134307,864.13,135171,151.13,0.0,135020,0,0,0,135020,0,0,0,135020,,0,0,
5,58,42,42,135020,0,0,0,0,0,100,0,134920,240000,126000,240000,105080, 20.69 , -   , -   , -   , 20.69 , -   , -   , -   , -   , -   , -   , -   ,0.0,134899,867.94,135767,151.80,0.0,135615,0,0,0,135615,0,0,0,135615,,0,0,
5,59,42,42,135615,0,0,0,0,0,100,0,135515,240000,126000,240000,104485, 20.57 , -   , -   , -   , 20.57 , -   , -   , -   , -   , -   , -   , -   ,0.0,135495,871.78,136366,152.47,0.0,136214,0,0,0,136214,0,0,0,136214,,0,0,
5,60,42,42,136214,0,0,0,0,0,100,0,136114,240000,126000,240000,103886, 20.46 , -   , -   , -   , 20.46 , -   , -   , -   , -   , -   , -   , -   ,0.0,136093,875.63,136969,153.14,0.0,136816,0,0,0,136816,0,0,0,136816,,0,0,
6,61,42,42,136816,24000,0,0,0,24000,100,0,160716,240000,151200,240000,79284, 15.61 , -   , -   , -   , 15.61 , -   , -   , -   , -   , -   , -   , -   ,0.0,160700,1033.95,161734,180.83,0.0,161553,0,0,0,161553,"-24,000",0,0,161553,,0,0,
6,62,42,42,161553,0,0,0,0,0,100,0,161453,240000,151200,240000,78547, 15.47 , -   , -   , -   , 15.47 , -   , -   , -   , -   , -   , -   , -   ,0.0,161438,1038.70,162477,181.66,0.0,162295,0,0,0,162295,0,0,0,162295,,0,0,
6,63,42,42,162295,0,0,0,0,0,100,0,162195,240000,151200,240000,77805, 15.32 , -   , -   , -   , 15.32 , -   , -   , -   , -   , -   , -   , -   ,0.0,162180,1043.47,163223,182.50,0.0,163041,0,0,0,163041,0,0,0,163041,,0,0,
6,64,42,42,163041,0,0,0,0,0,100,0,162941,240000,151200,240000,77059, 15.17 , -   , -   , -   , 15.17 , -   , -   , -   , -   , -   , -   , -   ,0.0,162925,1048.27,163974,183.34,0.0,163790,0,0,0,163790,0,0,0,163790,,0,0,
6,65,43,43,163790,0,0,0,0,0,100,0,163690,240000,151200,240000,76310, 16.36 , -   , -   , -   , 16.36 , -   , -   , -   , -   , -   , -   , -   ,0.0,163674,1053.08,164727,184.18,0.0,164543,0,0,0,164543,0,0,0,164543,,0,0,
6,66,43,43,164543,0,0,0,0,0,100,0,164443,240000,151200,240000,75557, 16.20 , -   , -   , -   , 16.20 , -   , -   , -   , -   , -   , -   , -   ,0.0,164427,1057.93,165485,185.03,0.0,165300,0,0,0,165300,0,0,0,165300,,0,0,
6,67,43,43,165300,0,0,0,0,0,100,0,165200,240000,151200,240000,74800, 16.04 , -   , -   , -   , 16.04 , -   , -   , -   , -   , -   , -   , -   ,0.0,165184,1062.80,166246,185.88,0.0,166060,0,0,0,166060,0,0,0,166060,,0,0,
6,68,43,43,166060,0,0,0,0,0,100,0,165960,240000,151200,240000,74040, 15.88 , -   , -   , -   , 15.88 , -   , -   , -   , -   , -   , -   , -   ,0.0,165945,1067.69,167012,186.74,0.0,166826,0,0,0,166826,0,0,0,166826,,0,0,
6,69,43,43,166826,0,0,0,0,0,100,0,166726,240000,151200,240000,73274, 15.71 , -   , -   , -   , 15.71 , -   , -   , -   , -   , -   , -   , -   ,0.0,166710,1072.62,167782,187.60,0.0,167595,0,0,0,167595,0,0,0,167595,,0,0,
6,70,43,43,167595,0,0,0,0,0,100,0,167495,240000,151200,240000,72505, 15.55 , -   , -   , -   , 15.55 , -   , -   , -   , -   , -   , -   , -   ,0.0,167479,1077.57,168557,188.46,0.0,168368,0,0,0,168368,0,0,0,168368,,0,0,
6,71,43,43,168368,0,0,0,0,0,100,0,168268,240000,151200,240000,71732, 15.38 , -   , -   , -   , 15.38 , -   , -   , -   , -   , -   , -   , -   ,0.0,168253,1082.55,169336,189.33,0.0,169146,0,0,0,169146,0,0,0,169146,,0,0,
6,72,43,43,169146,0,0,0,0,0,100,0,169046,240000,151200,240000,70954, 15.21 , -   , -   , -   , 15.21 , -   , -   , -   , -   , -   , -   , -   ,0.0,169031,1087.55,170119,190.21,0.0,169928,166,0,0,170094,0,0,0,170094,,0,0,
7,73,43,43,170094,24000,0,0,0,24000,100,0,193994,240000,176400,240000,46006, 9.86 , -   , -   , -   , 9.86 , -   , -   , -   , -   , -   , -   , -   ,0.0,193984,1248.10,195232,218.29,0.0,195014,0,0,0,195014,"-24,000",0,0,195014,,0,0,
7,74,43,43,195014,0,0,0,0,0,100,0,194914,240000,176400,240000,45086, 9.67 , -   , -   , -   , 9.67 , -   , -   , -   , -   , -   , -   , -   ,0.0,194904,1254.02,196158,219.32,0.0,195939,0,0,0,195939,0,0,0,195939,,0,0,
7,75,43,43,195939,0,0,0,0,0,100,0,195839,240000,176400,240000,44161, 9.47 , -   , -   , -   , 9.47 , -   , -   , -   , -   , -   , -   , -   ,0.0,195830,1259.97,197090,220.37,0.0,196869,0,0,0,196869,0,0,0,196869,,0,0,
7,76,43,43,196869,0,0,0,0,0,100,0,196769,240000,176400,240000,43231, 9.27 , -   , -   , -   , 9.27 , -   , -   , -   , -   , -   , -   , -   ,0.0,196760,1265.96,198026,221.41,0.0,197804,0,0,0,197804,0,0,0,197804,,0,0,
7,77,44,44,197804,0,0,0,0,0,100,0,197704,240000,176400,240000,42296, 9.92 , -   , -   , -   , 9.92 , -   , -   , -   , -   , -   , -   , -   ,0.0,197695,1271.97,198967,222.46,0.0,198744,0,0,0,198744,0,0,0,198744,,0,0,
7,78,44,44,198744,0,0,0,0,0,100,0,198644,240000,176400,240000,41356, 9.70 , -   , -   , -   , 9.70 , -   , -   , -   , -   , -   , -   , -   ,0.0,198634,1278.02,199912,223.52,0.0,199689,0,0,0,199689,0,0,0,199689,,0,0,
7,79,44,44,199689,0,0,0,0,0,100,0,199589,240000,176400,240000,40411, 9.48 , -   , -   , -   , 9.48 , -   , -   , -   , -   , -   , -   , -   ,0.0,199579,1284.10,200863,224.59,0.0,200639,0,0,0,200639,0,0,0,200639,,0,0,
7,80,44,44,200639,0,0,0,0,0,100,0,200539,240000,176400,240000,39461, 9.25 , -   , -   , -   , 9.25 , -   , -   , -   , -   , -   , -   , -   ,0.0,200530,1290.21,201820,225.65,0.0,201594,0,0,0,201594,0,0,0,201594,,0,0,
7,81,44,44,201594,0,0,0,0,0,100,0,201494,240000,176400,240000,38506, 9.03 , -   , -   , -   , 9.03 , -   , -   , -   , -   , -   , -   , -   ,0.0,201485,1296.36,202782,226.73,0.0,202555,0,0,0,202555,0,0,0,202555,,0,0,
7,82,44,44,202555,0,0,0,0,0,100,0,202455,240000,176400,240000,37545, 8.80 , -   , -   , -   , 8.80 , -   , -   , -   , -   , -   , -   , -   ,0.0,202446,1302.54,203749,227.81,0.0,203521,0,0,0,203521,0,0,0,203521,,0,0,
7,83,44,44,203521,0,0,0,0,0,100,0,203421,240000,176400,240000,36579, 8.58 , -   , -   , -   , 8.58 , -   , -   , -   , -   , -   , -   , -   ,0.0,203412,1308.76,204721,228.90,0.0,204492,0,0,0,204492,0,0,0,204492,,0,0,
7,84,44,44,204492,0,0,0,0,0,100,0,204392,240000,176400,240000,35608, 8.35 , -   , -   , -   , 8.35 , -   , -   , -   , -   , -   , -   , -   ,0.0,204384,1315.01,205699,229.99,0.0,205469,200,0,0,205669,0,0,0,205669,,0,0,
8,85,44,44,205669,24000,0,0,0,24000,100,0,229569,240000,201600,240000,10431, 2.45 , -   , -   , -   , 2.45 , -   , -   , -   , -   , -   , -   , -   ,0.0,229566,1477.04,231043,258.33,0.0,230785,0,0,0,230785,"-24,000",0,0,230785,,0,0,
8,86,44,44,230785,0,0,0,0,0,100,0,230685,240000,201600,240000,9315, 2.18 , -   , -   , -   , 2.18 , -   , -   , -   , -   , -   , -   , -   ,0.0,230683,1484.22,232167,259.59,0.0,231908,0,0,0,231908,0,0,0,231908,,0,0,
8,87,44,44,231908,0,0,0,0,0,100,0,231808,240000,201600,240000,8192, 1.92 , -   , -   , -   , 1.92 , -   , -   , -   , -   , -   , -   , -   ,0.0,231806,1491.44,233297,260.85,0.0,233036,0,0,0,233036,0,0,0,233036,,0,0,
8,88,44,44,233036,0,0,0,0,0,100,0,232936,240000,201600,240000,7064, 1.66 , -   , -   , -   , 1.66 , -   , -   , -   , -   , -   , -   , -   ,0.0,232935,1498.71,234433,262.12,0.0,234171,0,0,0,234171,0,0,0,234171,,0,0,
8,89,45,45,234171,0,0,0,0,0,100,0,234071,240000,201600,240000,5929, 1.53 , -   , -   , -   , 1.53 , -   , -   , -   , -   , -   , -   , -   ,0.0,234070,1506.01,235576,263.40,0.0,235312,0,0,0,235312,0,0,0,235312,,0,0,
8,90,45,45,235312,0,0,0,0,0,100,0,235212,240000,201600,240000,4788, 1.23 , -   , -   , -   , 1.23 , -   , -   , -   , -   , -   , -   , -   ,0.0,235211,1513.36,236724,264.68,0.0,236460,0,0,0,236460,0,0,0,236460,,0,0,
8,91,45,45,236460,0,0,0,0,0,100,0,236360,240000,201600,240000,3640, 0.94 , -   , -   , -   , 0.94 , -   , -   , -   , -   , -   , -   , -   ,0.0,236359,1520.74,237880,265.97,0.0,237614,0,0,0,237614,0,0,0,237614,,0,0,
8,92,45,45,237614,0,0,0,0,0,100,0,237514,240000,201600,240000,2486, 0.64 , -   , -   , -   , 0.64 , -   , -   , -   , -   , -   , -   , -   ,0.0,237513,1528.17,239041,267.27,0.0,238774,0,0,0,238774,0,0,0,238774,,0,0,
8,93,45,45,238774,0,0,0,0,0,100,0,238674,240000,201600,240000,1326, 0.34 , -   , -   , -   , 0.34 , -   , -   , -   , -   , -   , -   , -   ,0.0,238673,1535.63,240209,268.58,0.0,239941,0,0,0,239941,0,0,0,239941,,0,0,
8,94,45,45,239941,0,0,0,0,0,100,0,239841,240000,201600,240000,159, 0.04 , -   , -   , -   , 0.04 , -   , -   , -   , -   , -   , -   , -   ,0.0,239840,1543.14,241384,269.89,0.0,241114,0,0,0,241114,0,0,0,241114,,0,0,
